,Warehouse id,Region,SKU id,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,Mean_Last1,Mean_Last2
23,1,NORTH,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,64,124,36,56,112,144,31,64,32,136,24,24,62,69
24,1,NORTH,25,17,17,17,17,17,17,17,17,17,17,17,17,190,569,297,757,101,457,265,417,65,17,369,173,17,17,129,205,133,133,137,321,497,257,217,169,73,49,126,126
25,1,NORTH,26,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,147,132,60,144,186,162,186,141,53,18,48,50,15
26,1,NORTH,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,25,115,49,25,64,103,244,205,232,52,139,43,79,79
27,1,NORTH,28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,57,19,43,33,23,47,18,48,49,29,11,42,42
28,1,NORTH,29,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,56,96,50,36,60,36,35,64,78,112,72,36,36,36
29,1,NORTH,30,1,1,1,1,1,1,1,1,1,61,991,297,1137,409,531,293,381,363,309,343,585,373,323,217,1,97,141,327,263,405,247,213,367,603,279,479,169,89,356,356
30,1,NORTH,31,490,345,658,582,598,514,730,1046,758,802,174,766,498,374,198,394,70,418,338,262,422,50,94,46,2,34,154,70,114,90,186,106,186,62,254,26,2,82,33,33
31,1,NORTH,32,352,742,532,574,790,468,556,1096,594,454,190,888,462,418,220,332,84,538,236,572,412,68,68,180,16,36,112,58,156,92,302,296,190,176,120,112,16,16,64,64
32,1,NORTH,33,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,72,40,42,41,154,194,86,77,160,108,30,50,50
33,1,NORTH,34,780,920,572,412,500,412,408,712,588,596,448,322,496,548,260,344,172,92,388,428,328,152,128,172,8,192,168,116,40,128,32,88,176,48,108,124,8,88,74,74
34,1,NORTH,35,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,52,28,4,7,8
35,1,NORTH,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,144,2,6,154,292,330,314,750,538,153,790,478,568,282,306,427,427
36,1,NORTH,37,775,1621,781,781,895,796,1237,731,1060,658,520,1744,907,379,532,622,301,697,484,628,1213,466,304,616,10,28,370,472,688,292,964,718,1135,1180,322,1174,106,346,530,720
37,1,NORTH,38,7,397,31,541,181,325,310,517,307,283,151,331,286,121,235,307,205,337,265,415,237,163,37,103,7,67,67,139,115,145,202,229,475,181,310,271,181,205,200,249
38,1,NORTH,39,897,1353,1573,1311,1495,693,1537,2053,1403,581,475,1074,1627,1203,955,1365,543,1575,897,1295,1879,687,471,873,11,219,523,755,1207,891,1371,571,1883,1645,575,1399,179,443,624,717
39,1,NORTH,40,1934,953,1331,1361,854,851,1970,2255,1349,785,530,813,1376,815,659,812,251,686,869,815,1400,293,455,374,20,140,434,314,371,464,632,530,716,563,635,296,224,170,238,238
40,1,NORTH,41,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,191,8,8,152,11,89,92,32,110,140,110,39,98,38,20,53,53
41,1,NORTH,42,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42,6,6,90,116,158,30,106,84,6,54,142,34,6,126,80,80
42,1,NORTH,43,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,408,4,12,164,32,184,156,132,324,65,52,112,84,52,28,67,67
43,1,NORTH,44,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,34,14,22,174,46,58,198,198,198,82,14,222,238,46,142,97,97
44,1,NORTH,45,4,4,4,4,4,4,4,4,4,4,4,4,4,76,332,250,268,396,188,206,474,164,100,140,4,28,196,260,210,306,228,148,284,188,316,404,44,36,131,131
45,1,NORTH,46,12,260,240,188,328,276,172,360,328,172,168,334,322,152,244,340,172,216,168,240,458,96,156,92,12,16,64,56,212,232,304,332,376,336,128,252,128,44,114,114
46,1,NORTH,47,3130,2026,2262,1606,3014,1514,1662,3238,2298,1606,1554,1957,2802,2254,2638,2930,730,3018,1862,1958,2338,2014,1070,894,6,174,1246,2102,2102,1454,3298,1390,3238,2230,1162,3174,406,102,1983,1983
47,1,NORTH,48,275,101,197,137,137,65,95,101,65,77,11,209,167,95,83,189,99,53,65,53,143,41,35,41,11,35,35,119,95,113,95,83,101,85,95,29,101,23,62,62
48,1,NORTH,49,1,1,1,1,1,1,1,1,1,1,1,1,61,1,97,349,445,349,481,181,337,469,487,175,1,34,493,481,877,481,697,559,517,260,394,559,73,229,224,223
49,1,NORTH,50,803,883,543,1059,642,635,1011,919,655,587,243,1147,547,515,555,811,467,1131,463,747,923,731,367,263,19,67,123,355,359,711,695,1115,1099,827,235,779,499,107,584,584
50,1,NORTH,51,1192,2212,2173,1696,1207,1675,2698,1752,2575,1159,946,2971,1630,2344,1432,1735,1156,2269,1699,1990,3238,1333,826,742,13,217,883,1639,2302,1603,2953,1603,2605,2611,1927,2299,439,907,1319,1408
51,1,NORTH,52,106,91,109,37,71,79,67,61,64,49,19,115,97,49,112,72,22,100,52,25,52,43,28,44,10,31,34,61,49,34,31,100,68,28,55,100,10,34,45,45
52,1,NORTH,53,565,325,593,321,241,277,345,509,653,669,349,339,393,173,205,209,93,321,129,229,417,425,253,225,17,81,129,225,261,145,409,257,557,429,333,381,17,49,150,222
53,1,NORTH,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,62,18,26,210,70,54,58,82,90,52,178,138,202,58,18,136,136
54,1,NORTH,55,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,227,15,23,55,69,117,83,283,113,75,189,97,359,251,95,170,170
55,1,NORTH,56,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,139,115,175,463,259,627,635,178,475,989,763,531,139,573,573
56,1,NORTH,57,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,293,17,17,49,17,49,77,241,41,229,145,55,89,33,25,62,63
57,1,NORTH,58,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,200,17,41,95,164,161,29,455,194,308,155,83,413,17,47,262,266
58,1,NORTH,59,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,133,13,29,133,221,401,213,609,93,541,277,441,689,133,109,600,600
59,1,NORTH,60,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
60,1,NORTH,61,10,10,10,10,10,10,10,10,10,10,10,2770,2494,3270,1642,2202,5390,10,10,10,10,21210,2216,4414,4010,2810,2346,550,2138,606,110,10,3114,10,1282,2170,10,10,1064,1251
61,1,NORTH,62,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,46,124,14,94,294,258,258,166,318,562,622,62,250,458,114,62,88,90
62,1,NORTH,63,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,30,16,18,36,30,73,16,46,30,66,47,28,99,42,32,63,63
63,1,NORTH,64,50,78,44,62,36,52,70,44,42,34,32,30,94,40,26,92,120,82,86,30,62,50,64,32,20,24,28,48,32,42,68,28,40,38,30,52,32,20,35,36
64,1,NORTH,65,192,132,96,104,52,20,192,24,44,52,20,56,160,120,48,120,48,84,56,56,104,48,36,68,20,20,48,60,100,84,96,32,44,36,112,168,20,20,72,72
65,1,NORTH,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,259,7,55,87,29,149,115,227,299,395,429,283,86,155,47,137,137
66,1,NORTH,67,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,20,37,7,35,7,17,7,56,22,49,83,64,174,161,52,33,57,27,53,53
67,1,NORTH,68,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,200,86,116,6,6,6,44,20,66,140,58,67,312,378,310,162,82,159,171
68,1,NORTH,69,196,244,90,274,218,178,254,290,200,174,78,430,156,190,122,84,176,94,184,158,214,206,294,130,6,26,250,240,324,234,158,150,334,154,170,326,150,30,198,198
69,1,NORTH,70,214,292,108,96,208,124,122,266,218,162,94,352,128,208,118,108,276,156,108,234,226,236,266,312,16,80,184,274,232,346,296,104,214,240,198,592,152,160,245,245
70,1,NORTH,71,147,163,217,67,229,217,109,337,211,163,28,175,73,13,217,184,139,223,25,331,214,115,151,43,13,73,181,13,181,133,70,145,181,157,61,313,13,73,161,163
71,1,NORTH,72,242,174,154,162,210,234,102,254,280,146,76,204,188,64,138,110,222,166,282,138,282,170,130,166,177,94,102,174,160,90,350,218,154,162,374,366,130,70,221,221
72,1,NORTH,73,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,585,111,513,177,321,17,17,17,45,101,17,93,73,337,145,345,185,41,41,119,134
73,1,NORTH,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,162,2,2,122,210,210,210,34,2,2,2,1,1
74,1,NORTH,75,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,352,70,160,224,152,16,24,16,20,34,28,44,56,160,72,214,72,52,32,62,62
75,1,NORTH,76,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58,20,22,39,39
76,1,NORTH,77,14,14,14,14,14,14,14,236,722,254,236,698,488,404,398,344,497,668,353,521,333,404,365,197,14,98,422,383,410,584,707,320,536,428,254,524,38,188,173,219
77,1,NORTH,78,364,372,380,396,236,412,300,261,372,212,260,372,260,96,172,28,308,252,228,244,536,52,588,140,12,12,260,212,300,300,116,356,252,132,124,260,76,172,173,182
78,1,NORTH,79,327,297,159,249,381,90,123,183,153,162,18,399,186,69,231,273,75,129,234,291,225,231,159,69,3,15,169,57,168,261,156,117,147,111,27,135,3,9,22,52
79,1,NORTH,80,556,816,668,572,444,372,540,692,640,224,188,780,772,596,236,288,80,472,12,332,377,236,132,164,12,28,68,472,244,388,608,84,264,296,140,600,116,388,312,250
80,1,NORTH,81,167,74,95,83,89,95,23,47,71,65,35,167,107,5,5,5,41,17,14,77,77,17,59,83,5,35,41,95,47,53,137,23,50,179,131,119,107,11,109,110
81,1,NORTH,82,172,152,216,84,102,164,146,110,208,142,40,238,192,144,28,120,92,112,60,96,48,28,52,80,16,56,48,76,32,48,190,16,68,40,76,120,60,76,82,65
82,1,NORTH,83,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25,5,5,5,5,13,105,5,5,5,105,45,21,5,5,11,11
83,1,NORTH,84,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,60,16,40,16,56,24,16,16,32,896,4632,1068,76,136,6320,1072,5396,4956,280,32,2793,2793
84,1,NORTH,85,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,491,3,3,867,3831,298,3,3,94,985
85,1,NORTH,86,18,90,89,198,126,42,118,110,134,97,74,170,146,42,126,82,58,202,58,142,150,50,30,42,18,42,66,70,86,50,66,114,46,60,135,58,30,18,42,42
86,1,NORTH,87,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
87,1,NORTH,88,633,627,451,295,377,305,485,687,381,613,189,337,825,319,393,167,157,187,205,425,323,265,173,275,17,37,217,197,451,185,195,341,309,257,417,447,125,49,263,271
88,1,NORTH,89,793,137,453,381,553,397,337,709,241,293,333,313,585,381,253,517,181,225,353,337,401,249,361,89,9,57,201,109,249,225,201,145,145,361,121,609,9,9,381,381
89,1,NORTH,90,287,162,307,147,259,399,347,379,79,39,139,275,199,43,283,127,23,159,55,115,131,55,55,87,15,55,55,83,67,179,127,123,171,131,119,267,139,87,148,148
90,1,NORTH,91,201,311,115,139,23,100,199,145,65,103,41,171,107,59,169,55,77,137,73,137,117,15,105,25,15,23,47,23,37,19,129,119,111,69,61,101,47,33,69,69
91,1,NORTH,92,6,6,6,51,225,201,6,30,249,165,66,231,180,180,192,165,78,279,192,112,144,39,60,51,6,18,102,90,72,57,141,198,117,99,177,39,57,24,52,52
92,1,NORTH,93,14,14,14,134,425,170,254,428,155,68,107,248,182,185,155,23,140,242,185,138,182,86,164,59,14,53,14,161,146,80,164,32,116,158,170,92,41,26,54,54
93,1,NORTH,94,10,10,10,10,10,10,10,10,10,58,24,42,102,28,66,36,32,38,52,68,30,14,50,32,10,22,34,74,48,90,62,60,30,34,66,84,18,10,47,47
94,1,NORTH,95,16,19,13,13,13,13,31,28,13,13,13,16,34,22,22,22,28,28,22,16,25,13,31,13,13,13,19,16,34,19,13,16,13,13,19,16,13,13,13,13
95,1,NORTH,96,11,11,11,11,11,11,11,11,11,11,11,50,119,26,65,122,35,41,41,95,53,17,59,47,11,23,35,89,95,47,29,53,95,47,83,89,89,71,79,89
96,1,NORTH,97,190,94,222,502,214,670,246,550,414,250,86,426,246,362,198,398,134,166,562,510,275,134,46,38,6,118,294,222,414,30,446,342,150,318,230,254,22,126,153,153
97,1,NORTH,98,150,68,120,54,131,191,113,194,116,85,49,157,150,124,52,172,52,84,178,168,97,62,46,59,20,28,38,68,90,46,122,72,69,80,106,98,30,60,60,69
98,1,NORTH,99,18,18,18,18,18,18,18,18,18,64,64,62,32,72,56,40,80,50,46,69,64,30,32,42,18,18,34,58,68,30,18,30,38,46,44,56,44,18,42,42
99,1,NORTH,100,91,11,171,171,99,11,99,187,327,115,227,11,211,143,11,491,299,11,39,51,27,51,27,27,11,11,43,131,11,239,411,11,211,43,519,411,11,11,176,215
100,1,NORTH,101,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,130,76,152,58,14,34,120,14,87,87
101,1,NORTH,102,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,121,23,16,125,28,127,96,25,28,28
102,1,NORTH,103,103,121,103,10,115,133,190,103,166,103,34,16,55,16,28,106,10,88,112,151,175,58,76,28,10,37,85,43,118,79,85,58,100,43,79,196,13,55,94,94
103,1,NORTH,104,304,224,56,96,52,304,232,183,192,172,20,224,224,212,120,220,136,224,248,328,224,56,96,108,4,200,200,180,260,272,324,60,200,84,256,244,200,32,179,179
104,1,NORTH,105,44,48,83,87,55,88,46,99,65,40,29,58,28,24,39,83,19,27,34,83,43,24,36,42,14,25,21,29,31,65,74,32,27,23,40,57,19,19,25,25
105,1,NORTH,106,1290,1586,950,490,1330,1522,1582,2262,2350,1502,834,1183,1934,1670,1722,634,558,1426,554,1310,1654,802,1046,1050,2,130,234,658,574,826,534,1082,1362,882,966,2118,146,82,363,363
106,1,NORTH,107,640,413,691,469,562,634,490,988,607,604,247,1000,961,343,472,739,196,550,199,421,427,208,277,382,10,34,118,70,331,70,343,412,274,106,340,538,85,22,269,269
107,1,NORTH,108,173,833,281,145,679,569,483,1113,817,655,281,442,899,273,507,541,153,267,347,285,831,301,237,429,17,125,125,273,329,361,341,445,563,331,533,625,313,37,457,472
108,1,NORTH,109,17,257,69,105,113,92,117,217,85,25,57,177,69,125,117,9,9,81,69,109,269,9,49,41,209,9,9,17,25,9,9,89,9,137,89,9,9,9,8,8
109,1,NORTH,110,49,5,61,17,5,141,7,5,47,5,127,45,5,5,25,21,53,5,5,5,105,5,55,205,5,33,5,5,313,149,5,5,9,15,9,11,5,5,6,6
110,1,NORTH,111,150,243,252,93,42,465,234,372,237,222,96,178,153,24,114,252,204,345,351,177,246,447,318,6,3,33,48,51,57,9,15,72,63,177,444,129,57,3,74,74
111,1,NORTH,112,6,86,16,6,6,28,6,6,6,20,6,20,6,6,14,6,6,6,6,6,14,86,56,6,6,58,6,8,6,42,6,6,6,10,14,18,6,6,9,9
112,1,NORTH,113,352,223,745,409,169,283,85,1066,1324,151,175,811,184,313,541,187,247,420,817,892,1381,955,883,67,1,76,79,28,49,73,1,61,163,487,775,232,19,1,50,50
113,1,NORTH,114,3,5,3,35,3,13,3,35,29,3,19,3,45,31,3,3,11,11,3,5,45,3,43,23,3,3,3,29,3,43,3,15,3,27,11,3,3,3,3,3
114,1,NORTH,115,26,54,82,38,34,26,18,40,22,168,62,26,18,66,110,90,42,54,108,76,88,42,18,30,18,22,30,30,50,18,30,22,28,18,58,46,26,28,25,25
115,1,NORTH,116,12,14,4,8,4,4,6,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,6,4,4,5,5
116,1,NORTH,117,4,4,10,16,4,64,4,19,4,79,4,7,16,4,4,4,4,4,7,4,4,4,4,4,4,4,22,4,13,4,31,4,4,4,4,4,4,4,4,4
117,1,NORTH,118,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2
118,1,NORTH,119,20,20,20,20,20,20,20,20,20,20,20,34,30,48,104,27,23,28,20,20,24,20,20,20,20,46,44,132,118,38,50,20,89,92,21,100,32,38,45,46
119,1,NORTH,120,404,212,332,213,356,92,104,140,44,44,11,260,482,500,320,452,188,176,95,44,116,164,164,176,8,296,320,272,188,8,68,8,380,236,200,116,8,8,26,26
120,1,NORTH,121,768,1268,848,736,736,928,64,240,816,176,196,832,613,848,1504,344,336,996,128,208,340,512,928,16,16,976,432,356,868,848,896,16,616,720,648,932,608,64,583,583
121,1,NORTH,122,130,434,362,314,394,274,82,256,188,74,66,298,282,306,314,210,190,340,50,76,92,106,82,28,10,114,218,197,356,122,106,186,132,122,202,354,162,10,187,187
122,1,NORTH,123,260,248,200,278,98,74,2,2,38,152,62,32,128,62,122,104,26,62,2,14,20,2,92,86,2,83,86,26,122,98,20,2,26,104,80,85,38,110,54,52
123,1,NORTH,124,1765,1513,1975,1315,700,355,247,607,253,313,991,1591,3487,2101,1381,787,133,565,367,145,400,595,1681,745,13,1167,4006,1051,1381,874,217,79,1366,871,937,3787,265,991,1029,1029
124,1,NORTH,125,88,100,202,80,66,138,10,20,20,114,10,186,304,244,408,490,160,214,10,22,36,148,300,236,10,580,330,546,300,148,86,22,126,50,130,183,216,162,202,202
125,1,NORTH,126,10,10,10,10,10,10,10,10,10,10,10,52,10,10,10,10,10,16,10,28,10,10,10,10,10,28,88,265,16,10,16,10,10,10,37,304,10,10,68,68
126,1,NORTH,127,521,216,231,418,80,52,5,49,111,513,209,415,450,538,327,113,90,118,119,23,66,141,435,226,5,213,635,303,145,21,9,55,274,189,213,579,85,123,127,131
127,1,NORTH,128,3,3,71,59,100,59,3,3,179,40,15,55,23,40,75,15,39,32,63,146,125,176,106,25,3,3,35,3,7,3,3,3,3,3,259,155,43,23,68,88
128,1,NORTH,129,116,20,44,20,22,20,44,37,20,68,44,116,20,20,20,68,68,20,20,20,44,44,68,20,20,20,20,20,68,20,20,20,20,44,20,20,20,20,20,20
129,1,NORTH,130,149,154,65,17,331,77,185,77,209,77,161,281,233,149,125,150,111,63,137,257,17,5,65,53,5,5,17,101,113,5,41,53,5,5,5,5,5,5,5,5
130,1,NORTH,131,946,442,370,1044,588,10,10,10,1570,610,418,1238,346,514,518,514,462,218,154,514,294,202,1746,106,10,58,178,442,564,40,130,106,16,10,10,682,178,34,78,78
131,1,NORTH,132,2109,1481,1049,1989,1653,2125,1673,4265,3185,1001,1249,2921,1401,1513,2177,1653,597,2013,1001,2945,2481,2417,1913,761,17,161,713,1005,1433,1097,1173,2609,1785,3377,2681,2709,281,233,1119,1119
132,1,NORTH,133,1234,1570,1487,2033,1559,1489,1967,1870,622,2039,675,2007,1494,1421,1603,1043,981,1934,1133,1966,2594,1919,1252,1188,10,184,796,1965,938,1213,1680,2206,1479,2825,1762,1846,142,190,1006,1006
133,1,NORTH,134,804,942,1062,571,972,741,1254,426,1692,1160,256,856,422,564,714,628,337,1125,667,1202,1604,1022,880,362,6,126,608,902,816,1345,960,1282,1765,848,862,1134,60,108,563,598
134,1,NORTH,135,157,430,949,109,589,229,205,517,349,853,253,709,637,445,157,665,377,697,589,565,325,301,181,709,13,37,229,13,85,925,565,373,281,349,997,853,13,13,416,460
135,1,NORTH,136,1045,1210,1333,829,892,541,1153,2089,1531,919,1003,2134,499,1294,979,361,1246,926,838,883,1558,1159,316,781,19,91,445,718,1051,676,679,19,19,19,1507,1837,643,403,576,576
136,1,NORTH,137,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,250,1873,544,610,1150,1897,703,568,10,370,850,763,718,1858,2110,2710,602,130,10,130,1510,850,1268,1268
137,1,NORTH,138,198,262,202,266,186,182,158,302,258,90,30,132,238,70,326,98,28,50,94,258,98,86,26,85,2,70,55,54,70,90,218,78,346,161,370,151,66,34,111,111
